ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,PROCESO_ELECTORAL,ORGANIZACION_POLITICA,ANIO_INICIO,ANIO_FINAL,CARGO_ELEGIDO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE AUGUSTO,ARCE PAREDES ,2011 - 2014,AREQUIPA RENACE,2011,2014,REGIDOR(A) DISTRITAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE LEON,LUNA GALVEZ,2000 - 2001,SOLIDARIDAD NACIONAL,2000,2001,CONGRESISTA
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE LEON,LUNA GALVEZ,1998,APRA,1999,2002,REGIDOR(A) PROVINCIAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE LEON,LUNA GALVEZ,2001 - 2006,ALIANZA ELECTORAL UNIDAD NACIONAL,2001,2006,CONGRESISTA
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE LEON,LUNA GALVEZ,2011,ALIANZA SOLIDARIDAD NACIONAL,2011,Actualidad,CONGRESISTA
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE LEON,LUNA GALVEZ,2006 - 2011,UNIDAD NACIONAL,2006,2011,CONGRESISTA
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JUAN DAVID,PERRY CRUZ,ELECCIONES GENERALES 2006,RESTAURACIÓN NACIONAL,2006,2011,CONGRESISTA
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JULIO,CARDENAS SANCHEZ,2003,Partido Aprista Peruano,2003,2005,VICEGOBERNADOR(A) REGIONAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JULIO,CARDENAS SANCHEZ,2003,Partido Aprista Peruano,2005,2006,GOBERNADOR(A) REGIONAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,KAREN DENISSE,MANDUJANO ATENCIO,ERM 2014,Solidaridad Nacional,2015,Actualidad,REGIDOR(A) DISTRITAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LUIS ALBERTO,MATOS DEL POZO ,ELECCIONES REGIONALES Y MUNICIPALES 2014,SOLIDARIDAD NACIONAL,2015,Actualidad,REGIDOR(A) DISTRITAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LUIS DANTE,ZUBIA CORTEZ,1998,Vamos Vecino,1999,2002,ALCALDE(SA) PROVINCIAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LUZ ELIZABETH,MONTENEGRO DAVILA,ELECCIONES REGIONALES 2010, PARTIDO POLÍTICO MANOS LIMPIAS ,2012,2012,ALCALDE(SA) PROVINCIAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LUZ ELIZABETH,MONTENEGRO DAVILA,ELECCIONES REGIONALES 2010,PARTIDO POLÍTICO MANOS LIMPIAS,2014,2014,ALCALDE(SA) PROVINCIAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LUZ ELIZABETH,MONTENEGRO DAVILA,ELECCIONES REGIONALES 2006,PARTIDO POLÍTICO MANOS LIMPIAS,2007,2011,REGIDOR(A) PROVINCIAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LUZ ELIZABETH,MONTENEGRO DAVILA,ELECCIONES REGIONALES 2010,PARTIDO POLÍTICO MANOS LIMPIAS ,2011,2014,REGIDOR(A) PROVINCIAL
