ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,ORGANIZACION_POLITICA,ANIO_INICIO,ANIO_FINAL
ALIANZA POPULAR,CONGRESISTA,JOSE MIGUEL,GAMBETTA RIOS ,PARTIDO APRISTA PERUANO,2010,2015
ALIANZA POPULAR,CONGRESISTA,LENIN HAROLD,AVILA SILVA,PERU POSIBLE,2007,2012
ALIANZA POPULAR,CONGRESISTA,LUIS BELTRAN,BARRA PACHECO,ALIANZA PARA EL PROGRESO,2004,2015
ALIANZA POPULAR,CONGRESISTA,MANUEL ISIDRO,VASQUEZ FLORES ,Partido Aprista Peruano,2005,2014
ALIANZA POPULAR,CONGRESISTA,PAOLA,CAPCHA CABRERA,APRA,2004,2009
ALIANZA POPULAR,CONGRESISTA,PAUL ERWIN,PFLÜCKER FAVERON ,PARTIDO POPULAR CRISTIANO PPC,2011,2014
ALIANZA POPULAR,CONGRESISTA,PILAR,MELGAR GUTIERREZ,PARTIDO PERU POSIBLE,2005,2015
ALIANZA POPULAR,CONGRESISTA,ROBERTO CARLOS,LAIME SIVANA ,MOVIMIENTO REGIONAL AUTOGOBIERNO AYLLU,2014,2015
ALIANZA POPULAR,CONGRESISTA,ROFILIO T,NEYRA HUAMANI ,VAMOS VECINOS,1998,2010
ALIANZA POPULAR,CONGRESISTA,ROSA LILIANA,TORRES CASTILLO ,MOVIMIENTO REGIONAL PATRIA JOVEN,2006,2011
ALIANZA POPULAR,CONGRESISTA,VICTOR FRANCISCO,TORRES JIMENEZ,ALIANZA PARA EL PROGRESO,2015,2015
DEMOCRACIA DIRECTA,CONGRESISTA,AMANDO LUCIO VICENTE,ZENTENO FLORES ,PARTIDO NACIONALISTA PERUANO,2010,2011
DEMOCRACIA DIRECTA,CONGRESISTA,ANANIAS WILDER,NARRO CULQUE,UNIÓN POR EL PERÚ,2006,2015
DEMOCRACIA DIRECTA,CONGRESISTA,ANDRES,SULLCARAY BENITO,ACCION POPULAR,2006,2008
DEMOCRACIA DIRECTA,CONGRESISTA,ANNABELLA,VILLEGAS DE CAYRO,UPP,2006,2009
DEMOCRACIA DIRECTA,CONGRESISTA,CARMELA,CARBAJAL OTAROLA ,GANA PERU,2010,2015
DEMOCRACIA DIRECTA,CONGRESISTA,DOMINGO WILLIAM,ANCCASI LOPEZ,PARTIDO APRISTA PERUANO,1987,2004
DEMOCRACIA DIRECTA,CONGRESISTA,DOMINGO WILLIAM,ANCCASI LOPEZ,PARTIDO NACIONALISTA PERUANO,2005,2015
DEMOCRACIA DIRECTA,CONGRESISTA,EDGAR ELVER,CHAVEZ ARONES,PARTIDO NACIONALISTA PERUANO,2005,2014
DEMOCRACIA DIRECTA,CONGRESISTA,EDGAR NELSON,QUISPE FLORES,PERU POSIBLE,2000,2008
DEMOCRACIA DIRECTA,CONGRESISTA,ELEUTERIO,TORREJON PEZO,PARTIDO NACIONALISTA PERUANO,2006,2015
DEMOCRACIA DIRECTA,CONGRESISTA,ELSA CELIA,ANICAMA ÑAÑEZ ,GANA PERU,2011,2015
DEMOCRACIA DIRECTA,CONGRESISTA,FAUSTINO ELENO,GUEVARA VASQUEZ,PARTIDO NACIONALISTA PERUANO,2011,2013
DEMOCRACIA DIRECTA,CONGRESISTA,FEDERICO,IBAÑES MATICORENA,PARTIDO POR LA DEMOCRACIA SOCIAL,2005,2007
DEMOCRACIA DIRECTA,CONGRESISTA,GERARDINA,TORRES TOLEDO ,SIEMPRE UNIDOS,2010,2010
DEMOCRACIA DIRECTA,CONGRESISTA,GERARDINA,TORRES TOLEDO ,PARTIDO APRISTA PERUANO,1978,2010
DEMOCRACIA DIRECTA,CONGRESISTA,GUSTAVO ALEXANDER,FUERTES ZORRILLA ,PARTIDO POPULAR CRISTIANO -  PPC,2013,2015
DEMOCRACIA DIRECTA,CONGRESISTA,ILIA SANDRA,ESPINOZA MANRIQUE DE LARA ,PARTIDO NACIONALISTA PERUANO,2011,2015
DEMOCRACIA DIRECTA,CONGRESISTA,JAMES,FLORES ACUÑA ,VAMOS PERU,2014,2014
DEMOCRACIA DIRECTA,CONGRESISTA,JOSE DEMETRIO,QUIÑONES COLCHADO ,PARTIDO DEMOCRACIA SOCIAL - COMPROMISO PERU,2004,2008
DEMOCRACIA DIRECTA,CONGRESISTA,JOSE DEMETRIO,QUIÑONES COLCHADO ,PARTIDO DESCENTRALISTA FUERZA SOCIAL,2008,2013
DEMOCRACIA DIRECTA,CONGRESISTA,JOSE MANUEL,CARLOS VALERIANO,APRA,1989,2015
DEMOCRACIA DIRECTA,CONGRESISTA,JOSE VICENTE,GARCIA CASTILLO,PERU POSIBLE,1999,2010
DEMOCRACIA DIRECTA,CONGRESISTA,JULIO CESAR,MALDONADO ALBARRACIN,PARTIDO PERU POSIBLE,2003,2005
DEMOCRACIA DIRECTA,CONGRESISTA,JULIO CESAR,MALDONADO ALBARRACIN,PARTIDO NACIONALISTA PERUANO,2011,2012
DEMOCRACIA DIRECTA,CONGRESISTA,LUIS SALOMON,VALDEZ RODRIGUEZ,ACCION POPULAR,1998,2012
DEMOCRACIA DIRECTA,CONGRESISTA,MANUEL GODOFREDO,JIMENEZ CASTILLO,PARTIDO NACIONALISTA PERUANO,2005,2010
DEMOCRACIA DIRECTA,CONGRESISTA,MARIA ISABEL,ESCOBAR MAMANI,PARTIDO POLITICO TIERRA Y LIBERTAD ISLAY,2010,2010
DEMOCRACIA DIRECTA,CONGRESISTA,MARIA ROSA,SANCHEZ JARANDILLA ,PARTIDO NACIONALISTA PERUANO ,2006,2015
DEMOCRACIA DIRECTA,CONGRESISTA,RAUL,SANCHEZ MIRANDA,FRENTE DE MOVILIZACION SOCIAL (MOVIMIENTO DE ALCANCE REGIONAL),2009,2011
